VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.6,1.580211e-06,0.171220,7.522631e+12,1.329322e+07,0.000000,0.000000,0
0.6,1.710716e-06,0.166086,6.167702e+12,1.621349e+07,0.000000,0.000000,0
0.6,1.851662e-06,0.160571,4.982813e+12,2.006898e+07,0.000000,0.000000,0
0.6,2.003883e-06,0.154649,3.962725e+12,2.523516e+07,0.000000,0.000000,0
0.6,2.168282e-06,0.148294,3.099070e+12,3.226775e+07,0.000000,0.000000,0
0.6,2.345833e-06,0.141477,2.380766e+12,4.200329e+07,0.000000,0.000000,0
0.6,2.537588e-06,0.134170,1.794572e+12,5.572358e+07,0.000000,0.000000,0
0.6,2.744684e-06,0.126342,1.325739e+12,7.542962e+07,0.000000,0.000000,0
0.6,2.968347e-06,0.117963,9.587088e+11,1.043070e+08,0.000000,0.000000,0
0.6,3.209903e-06,0.109000,6.778188e+11,1.475320e+08,-0.000000,-0.000000,0
0.6,3.470784e-06,0.099421,4.679480e+11,2.136990e+08,0.000000,0.000000,0
0.6,3.752535e-06,0.089194,3.150609e+11,3.173989e+08,0.000000,0.000000,0
0.6,4.056826e-06,0.078287,2.066160e+11,4.839897e+08,0.000000,0.000000,0
0.6,4.385461e-06,0.066668,1.318187e+11,7.586178e+08,0.000000,0.000000,0
0.6,4.740386e-06,0.054308,8.171972e+10,1.223695e+09,0.000000,0.000000,0
0.6,5.123706e-06,0.041177,4.917461e+10,2.033570e+09,0.000000,0.000000,0
0.6,5.537690e-06,0.027251,2.869433e+10,3.485009e+09,0.000000,0.000000,0
0.6,5.984794e-06,0.012509,1.622322e+10,6.164004e+09,0.000000,0.000000,0
0.6,6.467666e-06,-0.003066,8.881758e+09,1.125903e+10,-0.000000,0.000000,0
0.6,6.989168e-06,-0.019481,4.706891e+09,2.124545e+10,0.000000,0.000000,0
0.6,7.552390e-06,-0.036737,2.414598e+09,4.141477e+10,0.000000,0.000000,0
0.6,8.160669e-06,-0.054823,1.199559e+09,8.336400e+10,0.000000,0.000000,0
0.6,8.817611e-06,-0.073712,5.776833e+08,1.731052e+11,0.000000,0.000000,0
0.6,9.527109e-06,-0.093363,2.701257e+08,3.701981e+11,0.000000,0.000000,0
0.6,1.029337e-05,-0.113712,1.229480e+08,8.133520e+11,0.000000,0.000000,0
0.6,1.112092e-05,-0.134669,5.465913e+07,1.829520e+12,0.000000,0.000000,0
0.6,1.201469e-05,-0.156113,2.384632e+07,4.193520e+12,0.000000,0.000000,0
0.6,1.297995e-05,-0.177885,1.027217e+07,9.735042e+12,0.000000,0.000000,0
0.6,1.402243e-05,-0.199782,4.403583e+06,2.270878e+13,0.000000,0.000000,0
0.6,1.514832e-05,-0.221548,1.897424e+06,5.270303e+13,0.000000,0.000000,0
0.6,1.636427e-05,-0.242864,8.318952e+05,1.202075e+14,-0.000000,-0.000000,0
0.6,1.767750e-05,-0.263348,3.766640e+05,2.654886e+14,0.000000,0.000000,0
0.6,1.909579e-05,-0.282554,1.791850e+05,5.580823e+14,0.000000,0.000000,0
0.6,2.062754e-05,-0.299998,9.125633e+04,1.095814e+15,0.000000,0.000000,0
0.6,2.228183e-05,-0.315207,5.066967e+04,1.973567e+15,0.000000,0.000000,0
0.6,2.406847e-05,-0.327818,3.110955e+04,3.214447e+15,0.000000,0.000000,0
0.6,2.599803e-05,-0.337676,2.124712e+04,4.706520e+15,0.000000,0.000000,0
0.6,2.808196e-05,-0.344898,1.606846e+04,6.223370e+15,0.000000,0.000000,0
0.6,3.033261e-05,-0.349848,1.326798e+04,7.536940e+15,0.000000,0.000000,0
0.6,3.276331e-05,-0.353028,1.173252e+04,8.523318e+15,0.000000,0.000000,0
0.6,3.538846e-05,-0.354946,1.089345e+04,9.179831e+15,0.000000,0.000000,0
0.6,3.822363e-05,-0.356036,1.044373e+04,9.575124e+15,0.000000,0.000000,0
0.6,4.128560e-05,-0.356620,1.021051e+04,9.793826e+15,0.000000,0.000000,0
0.6,4.459254e-05,-0.356915,1.009476e+04,9.906128e+15,0.000000,0.000000,0
0.6,4.816403e-05,-0.357055,1.004024e+04,9.959920e+15,0.000000,0.000000,0
0.6,5.202124e-05,-0.357117,1.001604e+04,9.983987e+15,0.000000,0.000000,0
0.6,5.618703e-05,-0.357143,1.000597e+04,9.994033e+15,0.000000,0.000000,0
0.6,6.068608e-05,-0.357153,1.000207e+04,9.997934e+15,0.000000,0.000000,0
0.6,6.554506e-05,-0.357157,1.000066e+04,9.999338e+15,0.000000,0.000000,0
0.6,7.079275e-05,-0.357158,1.000020e+04,9.999805e+15,0.000000,0.000000,0
0.6,7.646026e-05,-0.357158,1.000005e+04,9.999947e+15,0.000000,0.000000,0
0.6,8.258117e-05,-0.357159,1.000001e+04,9.999987e+15,0.000000,0.000000,0
0.6,8.919175e-05,-0.357159,1.000000e+04,9.999997e+15,0.000000,0.000000,0
0.6,9.633118e-05,-0.357159,1.000000e+04,9.999999e+15,0.000000,0.000000,0
0.6,1.040418e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.123692e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.213628e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.310759e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.415661e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.528955e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.651312e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.783458e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,1.926175e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.6,2.000000e-04,-0.357159,1.000000e+04,1.000000e+16,0.000000,0.000000,0
0.9,-9.285714e-08,0.542841,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-8.571429e-08,0.539757,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-7.857143e-08,0.536672,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-7.142857e-08,0.533588,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-6.428571e-08,0.530503,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-5.714286e-08,0.527418,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-5.000000e-08,0.524334,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-4.285714e-08,0.521249,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-3.571429e-08,0.518164,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-2.857143e-08,0.515080,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-2.142857e-08,0.511995,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-1.428571e-08,0.508911,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-7.142857e-09,0.505826,0.000000e+00,0.000000e+00,nan,nan,1
0.9,-0.000000e+00,0.502741,2.790505e+18,3.583581e+01,0.000000,0.000000,0
0.9,4.088455e-09,0.502100,2.722079e+18,3.673663e+01,0.000000,0.000000,0
0.9,8.503985e-09,0.501414,2.650876e+18,3.772338e+01,0.000000,0.000000,0
0.9,1.327276e-08,0.500683,2.576965e+18,3.880534e+01,0.000000,0.000000,0
0.9,1.842303e-08,0.499904,2.500442e+18,3.999292e+01,-0.000000,-0.000000,0
0.9,2.398533e-08,0.499074,2.421432e+18,4.129788e+01,0.000000,0.000000,0
0.9,2.999261e-08,0.498190,2.340085e+18,4.273350e+01,-0.000000,-0.000000,0
0.9,3.648048e-08,0.497251,2.256582e+18,4.431481e+01,0.000000,0.000000,0
0.9,4.348737e-08,0.496253,2.171134e+18,4.605888e+01,0.000000,0.000000,0
0.9,5.105481e-08,0.495194,2.083980e+18,4.798510e+01,0.000000,0.000000,0
0.9,5.922765e-08,0.494071,1.995386e+18,5.011561e+01,0.000000,0.000000,0
0.9,6.805432e-08,0.492881,1.905645e+18,5.247568e+01,0.000000,0.000000,0
0.9,7.758712e-08,0.491622,1.815071e+18,5.509427e+01,0.000000,0.000000,0
0.9,8.788254e-08,0.490292,1.724001e+18,5.800462e+01,-0.000000,-0.000000,0
